time_tag,soft_flux,hard_flux
2026-06-24 07:16:00+00:00,2.108245780618745e-06,9.05904400383406e-08
2026-06-24 07:17:00+00:00,1.9484646145428997e-06,7.471935958847098e-08
2026-06-24 07:18:00+00:00,1.7985558997679618e-06,6.060769663918109e-08
2026-06-24 07:19:00+00:00,1.646969167268253e-06,4.5921190405806556e-08
2026-06-24 07:20:00+00:00,1.5249514717652346e-06,3.862939124132936e-08
2026-06-24 07:21:00+00:00,1.4411936035685358e-06,3.2012255957170055e-08
2026-06-24 07:22:00+00:00,1.3578467132902006e-06,2.6198831548640555e-08
2026-06-24 07:23:00+00:00,1.2781520126736723e-06,2.2382653952490728e-08
2026-06-24 07:24:00+00:00,1.2180266821815167e-06,1.892749068588273e-08
2026-06-24 07:25:00+00:00,1.1801101891251164e-06,1.8070494434141438e-08
2026-06-24 07:26:00+00:00,1.1437748526077485e-06,1.6654926326964414e-08
2026-06-24 07:27:00+00:00,1.1151380476803752e-06,1.5561413491127496e-08
2026-06-24 07:28:00+00:00,1.0949170246021822e-06,1.5386836693664918e-08
2026-06-24 07:29:00+00:00,1.0889247050727136e-06,1.6704500893638397e-08
2026-06-24 07:30:00+00:00,1.0920415434156894e-06,1.7147952391383114e-08
2026-06-24 07:31:00+00:00,1.092498678190168e-06,1.675217120578054e-08
2026-06-24 07:32:00+00:00,1.110487460209697e-06,1.828261098069106e-08
2026-06-24 07:33:00+00:00,1.1702082929332391e-06,2.539337273788078e-08
2026-06-24 07:34:00+00:00,1.2099058039893862e-06,2.5797946889838386e-08
2026-06-24 07:35:00+00:00,1.2353958709354629e-06,2.5702998840415603e-08
2026-06-24 07:36:00+00:00,1.2187291531517985e-06,2.2572928415343085e-08
2026-06-24 07:37:00+00:00,1.1923542615477345e-06,2.0589085991673528e-08
2026-06-24 07:38:00+00:00,1.1675072073558113e-06,1.9216855662307353e-08
2026-06-24 07:39:00+00:00,1.1982652949882322e-06,2.1420447637865436e-08
2026-06-24 07:40:00+00:00,1.1668332717817975e-06,1.7111846162265465e-08
2026-06-24 07:41:00+00:00,1.1154904768773122e-06,1.4610500365108692e-08
2026-06-24 07:42:00+00:00,1.0904245755227748e-06,1.4232360179278203e-08
2026-06-24 07:43:00+00:00,1.0610094705043593e-06,1.2924120440516162e-08
2026-06-24 07:44:00+00:00,1.035028390106163e-06,1.1731002835801974e-08
2026-06-24 07:45:00+00:00,1.0192082982030115e-06,1.0830600416511516e-08
